id,type,name,slug,tel_prefix
1000000024,province,آذربایجان شرقی,آذربایجان-شرقی,041
1000000032,province,آذربایجان غربی,آذربایجان-غربی,044
1000000040,province,اصفهان,اصفهان,031
1000000057,province,خراسان رضوی,خراسان-رضوی,051
1000000065,province,خوزستان,خوزستان,061
1000000073,province,فارس,فارس,071
1000000081,province,کرمان,کرمان,034
1000000099,province,کرمانشاه,کرمانشاه,083
1000000107,province,گیلان,گیلان,013
1000000115,province,مازندران,مازندران,011
1000000123,province,مرکزی,مرکزی,086
1000000131,province,سیستان و بلوچستان,سیستان-و-بلوچستان,054
1000000149,province,کردستان,کردستان,087
1000000156,province,هرمزگان,هرمزگان,076
1000000164,province,بوشهر,بوشهر,077
1000000172,province,چهارمحال و بختیاری,چهارمحال-و-بختیاری,038
1000000180,province,زنجان,زنجان,024
1000000198,province,لرستان,لرستان,066
1000000206,province,همدان,همدان,081
1000000214,province,یزد,یزد,035
1000000222,province,ایلام,ایلام,084
1000000230,province,سمنان,سمنان,023
1000000248,province,کهگیلویه و بویراحمد,کهگیلویه-و-بویراحمد,074
1000000255,province,تهران,تهران,021
1000000263,province,اردبیل,اردبیل,045
1000000271,province,قم,قم,025
1000000289,province,قزوین,قزوین,028
1000000297,province,گلستان,گلستان,017
1000000305,province,خراسان جنوبی,خراسان-جنوبی,056
1000000313,province,خراسان شمالی,خراسان-شمالی,058
1000000321,province,البرز,البرز,026
1000000339,county,تبریز,تبریز,
1000000347,county,مراغه,مراغه,
1000000354,county,اهر,اهر,
1000000362,county,سراب,سراب,
1000000370,county,مرند,مرند,
1000000388,county,میانه,میانه,
1000000396,county,هشترود,هشترود,
1000000404,county,کلیبر,کلیبر,
1000000412,county,هریس,هریس,
1000000420,county,بناب,بناب,
1000000438,county,بستان آباد,بستان-آباد,
1000000446,county,شبستر,شبستر,
1000000453,county,جلفا,جلفا,
1000000461,county,ملکان,ملکان,
1000000479,county,آذرشهر,آذرشهر,
1000000487,county,اسکو,اسکو,
1000000495,county,چاراویماق,چاراویماق,
1000000503,county,عجب شیر,عجب-شیر,
1000000511,county,ورزقان,ورزقان,
1000000529,county,خدا آفرین,خدا-آفرین,
1000372647,county,هوراند,هوراند,
1000000537,county,ارومیه,ارومیه,
1000000545,county,خوی,خوی,
1000000552,county,مهاباد,مهاباد,
1000000560,county,ماکو,ماکو,
1000000578,county,سلماس,سلماس,
1000000586,county,میاندوآب,میاندوآب,
1000000594,county,نقده,نقده,
1000000602,county,پیرانشهر,پیرانشهر,
1000000610,county,سردشت,سردشت,
1000000628,county,بوکان,بوکان,
1000000636,county,تکاب,تکاب,
1000000644,county,شاهین دژ,شاهین-دژ,
1000000651,county,اشنویه,اشنویه,
1000000669,county,چالدران,چالدران,
1000000677,county,پلدشت,پلدشت,
1000000685,county,چایپاره,چایپاره,
1000000693,county,شوط,شوط,
1002657367,county,چهاربرج,چهاربرج,
1002657391,county,باروق,باروق,
1000000701,county,اصفهان,اصفهان,
1000000719,county,کاشان,کاشان,
1000000727,county,گلپایگان,گلپایگان,
1000000735,county,شهرضا,شهرضا,
1000000743,county,فریدن,فریدن,
1000000750,county,نائین,نائین,
1000000768,county,اردستان,اردستان,
1000000776,county,نجف آباد,نجف-آباد,
1000000784,county,نطنز,نطنز,
1000000792,county,سمیرم,سمیرم,
1000000800,county,لنجان,لنجان,
1000000818,county,خوانسار,خوانسار,
1000000826,county,فریدونشهر,فریدونشهر,
1000000834,county,خمینی شهر,خمینی-شهر,
1000000842,county,فلاورجان,فلاورجان,
1000000859,county,شاهین شهر و میمه,شاهین-شهر-و-میمه,
1000000867,county,مبارکه,مبارکه,
1000000875,county,آران و بیدگل,آران-و-بیدگل,
1000000883,county,تیران و کرون,تیران-و-کرون,
1000000891,county,چادگان,چادگان,
1000000909,county,دهاقان,دهاقان,
1000000917,county,برخوار,برخوار,
1000000925,county,خور و بیابانک,خور-و-بیابانک,
1000000933,county,بوئین میاندشت,بوئین-میاندشت,
1002655056,county,جرقویه,جرقویه,
1002656740,county,کوهپایه,کوهپایه,
1002657334,county,هرند,هرند,
1002657409,county,ورزنه,ورزنه,
1000000941,county,تربت حیدریه,تربت-حیدریه,
1000000958,county,سبزوار,سبزوار,
1000000966,county,قوچان,قوچان,
1000000974,county,گناباد,گناباد,
1000000982,county,مشهد,مشهد,
1000000990,county,نیشابور,نیشابور,
1000001006,county,کاشمر,کاشمر,
1000001014,county,درگز,درگز,
1000001022,county,تربت جام,تربت-جام,
1000001030,county,تایباد,تایباد,
1000001048,county,خواف,خواف,
1000001055,county,سرخس,سرخس,
1000001063,county,چناران,چناران,
1000001071,county,فریمان,فریمان,
1000001089,county,بردسکن,بردسکن,
1000001097,county,رشتخوار,رشتخوار,
1000001105,county,کلات,کلات,
1000001113,county,خلیل آباد,خلیل-آباد,
1000001121,county,مه ولات,مه-ولات,
1000001139,county,بجستان,بجستان,
1000001147,county,طرقبه شاندیز,طرقبه-شاندیز,
1000001154,county,جغتای,جغتای,
1000001162,county,جوین,جوین,
1000001170,county,فیروزه,فیروزه,
1000001188,county,زاوه,زاوه,
1000001196,county,باخرز,باخرز,
1000001204,county,خوشاب,خوشاب,
1000001212,county,داورزن,داورزن,
1000372670,county,صالح آباد,صالح-آباد,
1001187515,county,کوهسرخ,کوهسرخ,
1002245395,county,زبرخان,زبرخان,
1002245411,county,ششتمد,ششتمد,
1002285284,county,گلبهار,گلبهار,
1000001220,county,اهواز,اهواز,
1000001238,county,بهبهان,بهبهان,
1000001246,county,خرمشهر,خرمشهر,
1000001253,county,آبادان,آبادان,
1000001261,county,دشت آزادگان,دشت-آزادگان,
1000001279,county,دزفول,دزفول,
1000001287,county,شوشتر,شوشتر,
1000001295,county,مسجد سلیمان,مسجد-سلیمان,
1000001303,county,ایذه,ایذه,
1000001311,county,رامهرمز,رامهرمز,
1000001329,county,بندرماهشهر,بندرماهشهر,
1000001337,county,شادگان,شادگان,
1000001345,county,اندیمشک,اندیمشک,
1000001352,county,شوش,شوش,
1000001360,county,باغ ملک,باغ-ملک,
1000001378,county,امیدیه,امیدیه,
1000001386,county,لالی,لالی,
1000001394,county,هندیجان,هندیجان,
1000001402,county,رامشیر,رامشیر,
1000001410,county,گتوند,گتوند,
1000001428,county,اندیکا,اندیکا,
1000001436,county,هویزه,هویزه,
1000001444,county,هفتگل,هفتگل,
1000001451,county,باوی,باوی,
1000001469,county,آغاجاری,آغاجاری,
1000001477,county,حمیدیه,حمیدیه,
1000001485,county,کارون,کارون,
1002573176,county,کرخه,کرخه,
1002657441,county,دزپارت,دزپارت,
1000001493,county,آباده,آباده,
1000001501,county,شیراز,شیراز,
1000001519,county,فسا,فسا,
1000001527,county,لارستان,لارستان,
1000001535,county,فیروزآباد,فیروزآباد,
1000001543,county,جهرم,جهرم,
1000001550,county,کازرون,کازرون,
1000001568,county,استهبان,استهبان,
1000001576,county,داراب,داراب,
1000001584,county,نی ریز,نی-ریز,
1000001592,county,ممسنی,ممسنی,
1000001600,county,اقلید,اقلید,
1000001618,county,مرودشت,مرودشت,
1000001626,county,سپیدان,سپیدان,
1000001634,county,لامرد,لامرد,
1000001642,county,بوانات,بوانات,
1000001659,county,خرم بید,خرم-بید,
1000001667,county,ارسنجان,ارسنجان,
1000001675,county,زرین دشت,زرین-دشت,
1000001683,county,قیروکارزین,قیروکارزین,
1000001691,county,مهر,مهر,
1000001709,county,فراشبند,فراشبند,
1000001717,county,خنج,خنج,
1000001725,county,پاسارگاد,پاسارگاد,
1000001733,county,سروستان,سروستان,
1000001741,county,رستم,رستم,
1000001758,county,گراش,گراش,
1000001766,county,کوار,کوار,
1000001774,county,خرامه,خرامه,
1000947885,county,کوه چنار,کوه-چنار,
1000947919,county,بیضاء,بیضاء,
1000947943,county,بختگان,بختگان,
1000947976,county,خفر,خفر,
1000948107,county,اوز,اوز,
1000948131,county,زرقان,زرقان,
1000948768,county,سرچهان,سرچهان,
1002698064,county,جویم,جویم,
1000001782,county,بم,بم,
1000001790,county,کرمان,کرمان,
1000001808,county,سیرجان,سیرجان,
1000001816,county,رفسنجان,رفسنجان,
1000001824,county,جیرفت,جیرفت,
1000001832,county,بافت,بافت,
1000001840,county,زرند,زرند,
1000001857,county,شهربابک,شهربابک,
1000001865,county,بردسیر,بردسیر,
1000001873,county,کهنوج,کهنوج,
1000001881,county,راور,راور,
1000001899,county,منوجان,منوجان,
1000001907,county,عنبرآباد,عنبرآباد,
1000001915,county,کوهبنان,کوهبنان,
1000001923,county,رودبار جنوب,رودبار-جنوب,
1000001931,county,قلعه گنج,قلعه-گنج,
1000001949,county,ریگان,ریگان,
1000001956,county,انار,انار,
1000001964,county,فهرج,فهرج,
1000001972,county,رابر,رابر,
1000001980,county,نرماشیر,نرماشیر,
1000001998,county,فاریاب,فاریاب,
1000002004,county,ارزوئیه,ارزوئیه,
1000002012,county,اسلام آباد غرب,اسلام-آباد-غرب,
1000002020,county,کرمانشاه,کرمانشاه,
1000002038,county,قصرشیرین,قصرشیرین,
1000002046,county,پاوه,پاوه,
1000002053,county,سنقر,سنقر,
1000002061,county,کنگاور,کنگاور,
1000002079,county,سر پل ذهاب,سر-پل-ذهاب,
1000002087,county,گیالنغرب,گیالنغرب,
1000002095,county,جوانرود,جوانرود,
1000002103,county,صحنه,صحنه,
1000002111,county,هرسین,هرسین,
1000002129,county,ثلاث باباجانی,ثلاث-باباجانی,
1000002137,county,روانسر,روانسر,
1000002145,county,دالاهو,دالاهو,
1000002152,county,رشت,رشت,
1000002160,county,بندر انزلی,بندر-انزلی,
1000002178,county,طوالش,طوالش,
1000002186,county,فومن,فومن,
1000002194,county,لاهیجان,لاهیجان,
1000002202,county,رودسر,رودسر,
1000002210,county,آستارا,آستارا,
1000002228,county,لنگرود,لنگرود,
1000002236,county,رودبار,رودبار,
1000002244,county,صومعه سرا,صومعه-سرا,
1000002251,county,آستانه اشرفیه,آستانه-اشرفیه,
1000002269,county,شفت,شفت,
1000002277,county,رضوانشهر,رضوانشهر,
1000002285,county,ماسال,ماسال,
1000002293,county,املش,املش,
1000002301,county,سیاهکل,سیاهکل,
1002284279,county,خمام,خمام,
1000002319,county,تنکابن,تنکابن,
1000002327,county,ساری,ساری,
1000002335,county,بابل,بابل,
1000002343,county,قائم شهر,قائم-شهر,
1000002350,county,آمل,آمل,
1000002368,county,نوشهر,نوشهر,
1000002376,county,بهشهر,بهشهر,
1000002384,county,نور,نور,
1000002392,county,رامسر,رامسر,
1000002400,county,سواد کوه,سواد-کوه,
1000002418,county,بابلسر,بابلسر,
1000002426,county,محمود آباد,محمود-آباد,
1000002434,county,نکا,نکا,
1000002442,county,چلاوس,چلاوس,
1000002459,county,جویبار,جویبار,
1000002467,county,گلوگاه,گلوگاه,
1000002475,county,فریدونکنار,فریدونکنار,
1000002483,county,عباس آباد,عباس-آباد,
1000002491,county,میاندورود,میاندورود,
1000002509,county,سیمرغ,سیمرغ,
1000002517,county,سوادکوه شمالی,سوادکوه-شمالی,
1000002525,county,کلاردشت,کلاردشت,
1000002533,county,اراک,اراک,
1000002541,county,ساوه,ساوه,
1000002558,county,محلات,محلات,
1000002566,county,تفرش,تفرش,
1000002574,county,خمین,خمین,
1000002582,county,آشتیان,آشتیان,
1000002590,county,دلیجان,دلیجان,
1000002608,county,شازند,شازند,
1000002616,county,زرندیه,زرندیه,
1000002624,county,کمیجان,کمیجان,
1000002632,county,خنداب,خنداب,
1000002640,county,فراهان,فراهان,
1000002657,county,زابل,زابل,
1000002665,county,زاهدان,زاهدان,
1000002673,county,ایرانشهر,ایرانشهر,
1000002681,county,چاه بهار,چاه-بهار,
1000002699,county,سراوان,سراوان,
1000002707,county,خاش,خاش,
1000002715,county,نیک شهر,نیک-شهر,
1000002723,county,راسک,راسک,
1000002731,county,کنارک,کنارک,
1000002749,county,زهک,زهک,
1000002756,county,دلگان,دلگان,
1000002764,county,سیب سوران,سیب-سوران,
1000002772,county,مهرستان,مهرستان,
1000002780,county,هیرمند,هیرمند,
1000002798,county,قصرقند,قصرقند,
1000002806,county,میرجاوه,میرجاوه,
1000002814,county,نیمروز,نیمروز,
1000002822,county,هامون,هامون,
1000002830,county,فنوج,فنوج,
1000372530,county,بمپور,بمپور,
1001187267,county,تفتان,تفتان,
1001187333,county,سرباز,سرباز,
1001187366,county,دشتیاری,دشتیاری,
1002600789,county,گلشن,گلشن,
1002657011,county,لاشار,لاشار,
1002657185,county,زرآباد,زرآباد,
1000002848,county,بیجار,بیجار,
1000002855,county,سنندج,سنندج,
1000002863,county,سقز,سقز,
1000002871,county,بانه,بانه,
1000002889,county,مریوان,مریوان,
1000002897,county,قروه,قروه,
1000002905,county,دیواندره,دیواندره,
1000002913,county,کامیاران,کامیاران,
1000002921,county,سروآباد,سروآباد,
1000002939,county,دهگلان,دهگلان,
1000002947,county,بندرعباس,بندرعباس,
1000002954,county,بندرلنگه,بندرلنگه,
1000002962,county,میناب,میناب,
1000002970,county,قشم,قشم,
1000002988,county,ابوموسی,ابوموسی,
1000002996,county,جاسک,جاسک,
1000003002,county,رودان,رودان,
1000003010,county,حاجی آباد,حاجی-آباد,
1000003028,county,بستک,بستک,
1000003036,county,پارسیان,پارسیان,
1000003044,county,خمیر,خمیر,
1000003051,county,سیریک,سیریک,
1000003069,county,بشاگرد,بشاگرد,
1000003077,county,بوشهر,بوشهر,
1000003085,county,دشتستان,دشتستان,
1000003093,county,تنگستان,تنگستان,
1000003101,county,دشتی,دشتی,
1000003119,county,کنگان,کنگان,
1000003127,county,گناوه,گناوه,
1000003135,county,دیر,دیر,
1000003143,county,دیلم,دیلم,
1000003150,county,جم,جم,
1000003168,county,عسلویه,عسلویه,
1000003176,county,شهر کرد,شهر-کرد,
1000003184,county,بروجن,بروجن,
1000003192,county,فارسان,فارسان,
1000003200,county,لردگان,لردگان,
1000003218,county,اردل,اردل,
1000003226,county,کوهرنگ,کوهرنگ,
1000003234,county,کیار,کیار,
1000003242,county,بن,بن,
1000003259,county,سامان,سامان,
1000544930,county,خانمیرزا,خانمیرزا,
1002706073,county,فلارد,فلارد,
1000003267,county,زنجان,زنجان,
1000003275,county,ابهر,ابهر,
1000003283,county,خدابنده,خدابنده,
1000003291,county,ماهنشان,ماهنشان,
1000003309,county,ایجرود,ایجرود,
1000003317,county,طارم,طارم,
1000003325,county,خرمدره,خرمدره,
1000003333,county,سلطانیه,سلطانیه,
1000003341,county,خرم آباد,خرم-آباد,
1000003358,county,بروجرد,بروجرد,
1000003366,county,لایگودرز,لایگودرز,
1000003374,county,دلفان,دلفان,
1000003382,county,کوهدشت,کوهدشت,
1000003390,county,دورود,دورود,
1000003408,county,ازنا,ازنا,
1000003416,county,پلدختر,پلدختر,
1000003424,county,سلسله,سلسله,
1000003432,county,چگنی,چگنی,
1000003440,county,رومشکان,رومشکان,
1000003457,county,ملایر,ملایر,
1000003465,county,همدان,همدان,
1000003473,county,نهاوند,نهاوند,
1000003481,county,تویسرکان,تویسرکان,
1000003499,county,کبودرآهنگ,کبودرآهنگ,
1000003507,county,اسدآباد,اسدآباد,
1000003515,county,بهار,بهار,
1000003523,county,رزن,رزن,
1000003531,county,فامنین,فامنین,
1000577971,county,درگزین,درگزین,
1000003549,county,یزد,یزد,
1000003556,county,اردکان,اردکان,
1000003564,county,بافق,بافق,
1000003572,county,تفت,تفت,
1000003580,county,مهریز,مهریز,
1000003598,county,میبد,میبد,
1000003606,county,ابرکوه,ابرکوه,
1000003614,county,اشکذر,اشکذر,
1000003622,county,خاتم,خاتم,
1000003630,county,بهاباد,بهاباد,
1002656591,county,مروست,مروست,
1000003648,county,ایلام,ایلام,
1000003655,county,دره شهر,دره-شهر,
1000003663,county,دهلران,دهلران,
1000003671,county,مهران,مهران,
1000003689,county,چرداول,چرداول,
1000003697,county,آبدانان,آبدانان,
1000003705,county,ایوان,ایوان,
1000003713,county,ملکشاهی,ملکشاهی,
1000003721,county,سیروان,سیروان,
1000003739,county,بدره,بدره,
1001235389,county,هلیلان,هلیلان,
1002284246,county,چوار,چوار,
1000003747,county,سمنان,سمنان,
1000003754,county,شاهرود,شاهرود,
1000003762,county,دامغان,دامغان,
1000003770,county,گرمسار,گرمسار,
1000003788,county,مهدی شهر,مهدی-شهر,
1000003796,county,میامی,میامی,
1000003804,county,آرادان,آرادان,
1000003812,county,سرخه,سرخه,
1000003820,county,کهگیلویه,کهگیلویه,
1000003838,county,بویر احمد,بویر-احمد,
1000003846,county,گچساران,گچساران,
1000003853,county,دنا,دنا,
1000003861,county,بهمئی,بهمئی,
1000003879,county,باشت,باشت,
1000003887,county,چرام,چرام,
1000003895,county,لنده,لنده,
1001235447,county,مارگون,مارگون,
1000003903,county,تهران,تهران,
1000003911,county,دماوند,دماوند,
1000003929,county,ورامین,ورامین,
1000003937,county,ری,ری,
1000003945,county,شمیرانات,شمیرانات,
1000003952,county,شهریار,شهریار,
1000003960,county,اسلامشهر,اسلامشهر,
1000003978,county,رباط کریم,رباط-کریم,
1000003986,county,فیروزکوه,فیروزکوه,
1000003994,county,پاکدشت,پاکدشت,
1000004000,county,قدس,قدس,
1000004018,county,ملارد,ملارد,
1000004026,county,پیشوا,پیشوا,
1000004034,county,بهارستان,بهارستان,
1000004042,county,پردیس,پردیس,
1000004059,county,قرچک,قرچک,
1000004067,county,اردبیل,اردبیل,
1000004075,county,خلخال,خلخال,
1000004083,county,مشگین شهر,مشگین-شهر,
1000004091,county,گرمی,گرمی,
1000004109,county,بیله سوار,بیله-سوار,
1000004117,county,پارس آباد,پارس-آباد,
1000004125,county,نمین,نمین,
1000004133,county,کوثر,کوثر,
1000004141,county,نیر,نیر,
1000004158,county,سرعین,سرعین,
1000545085,county,اصلاندوز,اصلاندوز,
1002572962,county,انگوت,انگوت,
1000004166,county,قم,قم,
1002654000,county,کهک,کهک,
1002654042,county,جعفر آباد,جعفر-آباد,
1000004174,county,قزوین,قزوین,
1000004182,county,تاکستان,تاکستان,
1000004190,county,بوئین زهرا,بوئین-زهرا,
1000004208,county,آبیک,آبیک,
1000004216,county,البرز,البرز,
1000004224,county,آوج,آوج,
1000004232,county,گرگان,گرگان,
1000004240,county,گنبد کاووس,گنبد-کاووس,
1000004257,county,ترکمن,ترکمن,
1000004265,county,علی آباد کتول,علی-آباد-کتول,
1000004273,county,کرد کوی,کرد-کوی,
1000004281,county,مینودشت,مینودشت,
1000004299,county,بندر گز,بندر-گز,
1000004307,county,آق قلا,آق-قلا,
1000004315,county,کلاله,کلاله,
1000004323,county,آزادشهر,آزادشهر,
1000004331,county,رامیان,رامیان,
1000004349,county,مراوه تپه,مراوه-تپه,
1000004356,county,گمیشان,گمیشان,
1000004364,county,گلایکش,گلایکش,
1000004372,county,بیرجند,بیرجند,
1000004380,county,فردوس,فردوس,
1000004398,county,طبس,طبس,
1000004406,county,قائنات,قائنات,
1000004414,county,نهبندان,نهبندان,
1000004422,county,سربیشه,سربیشه,
1000004430,county,درمیان,درمیان,
1000004448,county,سرایان,سرایان,
1000004455,county,بشرویه,بشرویه,
1000004463,county,خوسف,خوسف,
1000004471,county,زیرکوه,زیرکوه,
1000004489,county,بجنورد,بجنورد,
1000004497,county,اسفراین,اسفراین,
1000004505,county,شیروان,شیروان,
1000004513,county,جاجرم,جاجرم,
1000004521,county,مانه و سملقان,مانه-و-سملقان,
1000004539,county,فاروج,فاروج,
1000004547,county,گرمه,گرمه,
1000004554,county,راز و جرگلان,راز-و-جرگلان,
1000004562,county,کرج,کرج,
1000004570,county,ساوجبلاغ,ساوجبلاغ,
1000004588,county,نظرآباد,نظرآباد,
1000004596,county,طالقان,طالقان,
1000004604,county,اشتهارد,اشتهارد,
1000004612,county,فردیس,فردیس,
1002408209,county,چهار باغ,چهار-باغ,
